Column,Significant Counts
cal_m_1,29
cal_m_2,29
elapsed_time,29
game_id,29
game_no,14
game_victor,9
new_game,1
p,15
p1_ace,4
p1_break_pt,2
p1_break_pt_missed,0
p1_break_pt_won,2
p1_distance_run,3
p1_double_fault,3
p1_games,18
p1_momentum,31
p1_net_pt,1
p1_net_pt_won,3
p1_points_won,30
p1_score,7
p1_sets,22
p1_unf_err,10
p1_winner,12
p2_ace,6
p2_break_pt,1
p2_break_pt_missed,1
p2_break_pt_won,4
p2_distance_run,1
p2_double_fault,3
p2_games,15
p2_momentum,28
p2_net_pt,1
p2_net_pt_won,5
p2_points_won,29
p2_score,8
p2_sets,14
p2_unf_err,9
p2_winner,11
point_no,29
point_victor,29
rally_count,1
return_depth,0
serve_depth,2
serve_no,0
serve_width,1
server,2
set_no,29
set_victor,1
winner_shot_type,2
