match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum,cal_m_1,cal_m_2,Momentums
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,5.42,1,0,1,0,1,287,44.5,47.7481268731046,1.0,1.0,-3.0534601212381114
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0044444444444444,1,1,2,0,0,0,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18.068,11.969,3,0,0,0,0,287,44.5,51.28505975812301,0.9987203658084164,0.9984842047575976,-4.159134743623786
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0108333333333333,1,1,3,0,0,0,0,0,2,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.276,7.918,1,4,0,1,0,287,44.5,54.19982651304931,0.9968809000706134,0.9963052630794323,-4.8809243829554845
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0188888888888888,1,1,4,0,0,0,0,0,3,2,1,2,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.5,27.834,7,1,0,1,0,287,44.85,61.60906756032159,0.9945616053338666,0.993557954402974,-6.8137425568412056
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0388888888888888,1,2,5,0,0,0,1,0,0,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.328,32.599,9,1,0,0,1,288,47.7481268731046,53.85,0.9888036625974256,0.9867375591402754,-2.1558100500915387
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0511111111111111,1,2,6,0,0,0,1,1,0,1,2,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.109,11.737,2,2,0,0,0,288,45.85,56.7481268731046,0.9852852609317404,0.9825701067576784,-4.342172087258168
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0655555555555555,1,2,7,0,0,0,1,1,1,1,1,1,2,5,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48.403,50.709,13,0,0,0,0,288,49.5481268731046,54.5,0.9811276264198856,0.9776457277449998,-1.3955386144006217
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0772222222222222,1,2,8,0,0,0,1,2,1,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.89,19.457,5,1,0,0,0,288,51.985059758123015,54.85,0.9777700066896344,0.9736691252214876,-0.04987958460227371
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0883333333333333,1,2,9,0,0,0,1,3,1,1,1,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.617,18.662,5,1,0,0,0,288,59.521339808166914,54.5,0.9745727386488288,0.9698826574649444,2.7853404608454486
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,0.0994444444444444,1,3,10,0,0,1,1,0,0,2,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.95,14.828,3,4,1,0,1,289,53.5,58.0481268731046,0.971375990721256,0.9660970539002112,-1.4721765233240938
